hashtags,sentiment
SignsYouAreOnTheRightPath,1.0
rt171,1.0
NiceTry,1.0
artwork,1.0
PrinceRIP,1.0
relationships,1.0
ThoughtsBeforeBed,1.0
DeplorablesChallenge,1.0
WennFraktionskollegen,1.0
HappyTaeminDay,1.0
